/championId,/championLevel,/championPoints,/lastPlayTime,/championPointsSinceLastLevel,/championPointsUntilNextLevel,/chestGranted,/tokensEarned,/summonerId
157.0,6.0,237312.0,1.581344486E12,215712.0,0.0,false,3.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
1.0,7.0,184447.0,1.49386678E12,162847.0,0.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
99.0,5.0,100250.0,1.493771601E12,78650.0,0.0,false,2.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
85.0,7.0,98856.0,1.569525041E12,77256.0,0.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
246.0,5.0,63509.0,1.584110731E12,41909.0,0.0,true,2.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
134.0,5.0,54072.0,1.583931277E12,32472.0,0.0,true,2.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
69.0,5.0,42728.0,1.584109246E12,21128.0,0.0,true,2.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
84.0,5.0,32900.0,1.583319249E12,11300.0,0.0,true,2.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
48.0,5.0,25436.0,1.491190447E12,3836.0,0.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
32.0,5.0,24368.0,1.49169289E12,2768.0,0.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
86.0,4.0,21014.0,1.48891315E12,8414.0,586.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
127.0,4.0,20459.0,1.56637327E12,7859.0,1141.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
5.0,4.0,18793.0,1.578666993E12,6193.0,2807.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
7.0,4.0,17829.0,1.584103476E12,5229.0,3771.0,true,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
131.0,4.0,17306.0,1.583966948E12,4706.0,4294.0,true,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
238.0,4.0,15758.0,1.578171455E12,3158.0,5842.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
412.0,4.0,15559.0,1.580132168E12,2959.0,6041.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
64.0,4.0,14519.0,1.579129845E12,1919.0,7081.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
13.0,3.0,11708.0,1.581154581E12,5708.0,892.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
18.0,3.0,10356.0,1.577377491E12,4356.0,2244.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
62.0,3.0,9590.0,1.457903711E12,3590.0,3010.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
80.0,3.0,9513.0,1.581527363E12,3513.0,3087.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
517.0,3.0,9145.0,1.583877525E12,3145.0,3455.0,true,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
236.0,3.0,8680.0,1.583789172E12,2680.0,3920.0,true,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
101.0,3.0,7912.0,1.566439763E12,1912.0,4688.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
92.0,3.0,6966.0,1.581261129E12,966.0,5634.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
22.0,3.0,6382.0,1.485995788E12,382.0,6218.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
61.0,3.0,6279.0,1.582131049E12,279.0,6321.0,true,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
164.0,2.0,5824.0,1.582480867E12,4024.0,176.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
12.0,2.0,5646.0,1.480090606E12,3846.0,354.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
67.0,2.0,5176.0,1.457847795E12,3376.0,824.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
103.0,2.0,5048.0,1.580127447E12,3248.0,952.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
19.0,2.0,5042.0,1.478638885E12,3242.0,958.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
34.0,2.0,4798.0,1.489873061E12,2998.0,1202.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
39.0,2.0,4758.0,1.58396839E12,2958.0,1242.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
38.0,2.0,4606.0,1.578938644E12,2806.0,1394.0,true,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
25.0,2.0,4484.0,1.490480188E12,2684.0,1516.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
222.0,2.0,4091.0,1.457219343E12,2291.0,1909.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
55.0,2.0,4076.0,1.569449703E12,2276.0,1924.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
68.0,2.0,3879.0,1.581781507E12,2079.0,2121.0,true,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
105.0,2.0,3553.0,1.566326173E12,1753.0,2447.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
35.0,2.0,3541.0,1.456183326E12,1741.0,2459.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
15.0,2.0,3536.0,1.479269784E12,1736.0,2464.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
33.0,2.0,3166.0,1.491079181E12,1366.0,2834.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
267.0,2.0,3042.0,1.462944387E12,1242.0,2958.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
63.0,2.0,3027.0,1.456554892E12,1227.0,2973.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
10.0,2.0,2837.0,1.572618892E12,1037.0,3163.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
17.0,2.0,2484.0,1.455347598E12,684.0,3516.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
76.0,2.0,2296.0,1.457390479E12,496.0,3704.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
115.0,2.0,2152.0,1.566173698E12,352.0,3848.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
56.0,2.0,2068.0,1.458414322E12,268.0,3932.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
4.0,2.0,2045.0,1.571038682E12,245.0,3955.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
11.0,2.0,1966.0,1.485485773E12,166.0,4034.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
268.0,2.0,1905.0,1.58410571E12,105.0,4095.0,true,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
51.0,2.0,1885.0,1.460830533E12,85.0,4115.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
142.0,1.0,1788.0,1.580929647E12,1788.0,12.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
89.0,1.0,1569.0,1.460777841E12,1569.0,231.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
117.0,1.0,1503.0,1.456695983E12,1503.0,297.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
201.0,1.0,1491.0,1.462729868E12,1491.0,309.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
75.0,1.0,1416.0,1.459744238E12,1416.0,384.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
20.0,1.0,1366.0,1.47442011E12,1366.0,434.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
37.0,1.0,1335.0,1.458941646E12,1335.0,465.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
254.0,1.0,1334.0,1.459741187E12,1334.0,466.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
126.0,1.0,1330.0,1.459202067E12,1330.0,470.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
266.0,1.0,1326.0,1.581493387E12,1326.0,474.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
45.0,1.0,1318.0,1.576078804E12,1318.0,482.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
119.0,1.0,1312.0,1.458189797E12,1312.0,488.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
81.0,1.0,1249.0,1.456125865E12,1249.0,551.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
429.0,1.0,1170.0,1.455434019E12,1170.0,630.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
114.0,1.0,1111.0,1.456039171E12,1111.0,689.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
104.0,1.0,1091.0,1.456068379E12,1091.0,709.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
113.0,1.0,1036.0,1.455148515E12,1036.0,764.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
79.0,1.0,957.0,1.461777823E12,957.0,843.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
44.0,1.0,944.0,1.458072215E12,944.0,856.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
96.0,1.0,904.0,1.456300979E12,904.0,896.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
78.0,1.0,835.0,1.490818084E12,835.0,965.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
54.0,1.0,561.0,1.488226298E12,561.0,1239.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
16.0,1.0,389.0,1.535824165E12,389.0,1411.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
58.0,1.0,318.0,1.579968328E12,318.0,1482.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
53.0,1.0,313.0,1.461693257E12,313.0,1487.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
202.0,1.0,261.0,1.456303962E12,261.0,1539.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
245.0,1.0,243.0,1.445738392E12,243.0,1557.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
21.0,1.0,232.0,1.457819853E12,232.0,1568.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
57.0,1.0,227.0,1.461016797E12,227.0,1573.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
2.0,1.0,219.0,1.457850554E12,219.0,1581.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
111.0,1.0,191.0,1.457049953E12,191.0,1609.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
91.0,1.0,188.0,1.461618184E12,188.0,1612.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
92.0,7.0,357615.0,1.577018476E12,336015.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
58.0,7.0,265817.0,1.585138548E12,244217.0,0.0,true,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
85.0,7.0,96176.0,1.580505735E12,74576.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
114.0,7.0,95979.0,1.58367074E12,74379.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
157.0,7.0,76958.0,1.584846291E12,55358.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
24.0,7.0,75253.0,1.584052774E12,53653.0,0.0,true,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
64.0,7.0,74615.0,1.582732715E12,53015.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
245.0,7.0,69160.0,1.585028448E12,47560.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
81.0,6.0,68066.0,1.584848394E12,46466.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
39.0,5.0,59406.0,1.58467851E12,37806.0,0.0,true,2.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
98.0,7.0,55341.0,1.5820928E12,33741.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
78.0,7.0,53160.0,1.580587474E12,31560.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
126.0,7.0,52290.0,1.578851427E12,30690.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
107.0,5.0,46506.0,1.577018476E12,24906.0,0.0,false,2.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
122.0,6.0,45781.0,1.58468132E12,24181.0,0.0,true,3.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
412.0,6.0,44676.0,1.577018476E12,23076.0,0.0,false,1.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
10.0,5.0,44032.0,1.582919278E12,22432.0,0.0,true,2.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
236.0,6.0,40322.0,1.583766284E12,18722.0,0.0,true,3.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
57.0,6.0,40225.0,1.581022074E12,18625.0,0.0,false,1.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
266.0,6.0,36111.0,1.584383631E12,14511.0,0.0,false,3.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
31.0,6.0,36075.0,1.577281382E12,14475.0,0.0,false,2.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
238.0,5.0,35836.0,1.581454264E12,14236.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
67.0,6.0,34272.0,1.577018476E12,12672.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
164.0,6.0,33887.0,1.579640061E12,12287.0,0.0,false,1.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
517.0,6.0,33651.0,1.583197063E12,12051.0,0.0,true,1.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
84.0,6.0,32707.0,1.578113987E12,11107.0,0.0,false,2.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
79.0,5.0,31630.0,1.578338459E12,10030.0,0.0,false,2.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
150.0,6.0,31054.0,1.583879944E12,9454.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
2.0,5.0,29268.0,1.581452534E12,7668.0,0.0,false,2.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
432.0,5.0,27300.0,1.58145731E12,5700.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
